Identifier,Tag_Name,Service,Type,Instance_Type,Region,Tag: Environment
removed-guid1,computer-name-1,EC2,Instance,m5.large,eu-central-1,Production-AWS-EU
removed-guid2,computer-name-2,EC2,Instance,m5.large,eu-central-1,Production-AWS-EU
removed-guid3,computer-name-3,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid4,computer-name-4,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid5,computer-name-5,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid6,computer-name-6,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid7,computer-name-7,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid8,computer-name-8,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid9,computer-name-9,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid10,computer-name-10,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid11,computer-name-11,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid12,computer-name-12,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid13,computer-name-13,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid14,computer-name-14,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid15,computer-name-15,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid16,computer-name-16,EC2,Instance,r6i.4xlarge,eu-central-1,Production-AWS-EU
removed-guid17,computer-name-17,EC2,Instance,t2.medium,eu-central-1,Production-AWS-EU
removed-guid18,computer-name-18,EC2,Instance,m4.large,eu-central-1,Production-AWS-EU
removed-guid19,computer-name-19,EC2,Instance,m4.large,eu-central-1,Production-AWS-EU
removed-guid20,computer-name-20,EC2,Instance,m4.large,eu-central-1,Production-AWS-EU
removed-guid21,computer-name-21,EC2,Instance,m4.large,eu-central-1,Production-AWS-EU
removed-guid22,computer-name-22,EC2,Instance,m4.large,eu-central-1,Production-AWS-EU
removed-guid23,computer-name-23,EC2,Instance,m4.large,eu-central-1,Production-AWS-EU
removed-guid24,computer-name-24,EC2,Instance,m4.large,eu-central-1,Production-AWS-EU
removed-guid25,computer-name-25,EC2,Instance,m4.large,eu-central-1,Production-AWS-EU
removed-guid26,computer-name-26,EC2,Instance,m5.large,us-east-1,Production-AWS-US
removed-guid27,computer-name-27,EC2,Instance,m4.large,us-east-1,Sandbox-AWS-US
removed-guid28,computer-name-28,EC2,Instance,m5.large,us-east-1,Production-AWS-US2
removed-guid29,computer-name-29,EC2,Instance,r5b.xlarge,us-east-1,Production-AWS-US2
removed-guid30,computer-name-30,EC2,Instance,r5b.large,us-east-1,Sandbox-AWS-US
removed-guid31,computer-name-31,EC2,Instance,r5b.large,us-east-1,Sandbox-AWS-US
removed-guid32,computer-name-32,EC2,Instance,r5b.xlarge,us-east-1,Production-AWS-US2
removed-guid33,computer-name-33,EC2,Instance,m5.large,us-east-1,Production-AWS-US
removed-guid34,computer-name-34,EC2,Instance,m5.large,us-east-1,Production-AWS-US
removed-guid35,computer-name-35,EC2,Instance,r5b.4xlarge,us-east-1,Production-AWS-US
removed-guid36,computer-name-36,EC2,Instance,m5.2xlarge,us-east-1,Production-AWS-US
removed-guid37,computer-name-37,EC2,Instance,m4.2xlarge,us-east-1,Production-AWS-US
removed-guid38,computer-name-38,EC2,Instance,r5b.4xlarge,us-east-1,Production-AWS-US
removed-guid39,computer-name-39,EC2,Instance,t3.large,us-east-1,Production-AWS-US
removed-guid40,computer-name-40,EC2,Instance,t2.medium,us-east-1,Production-AWS-US
